spaLangNum	LanguageName	spaPhoneNum	spaDescription	spaAllophoneDescription	Notes	AllophoneNotes
				[d/z-hacek-palatalized]	61	(free)
		09	k-prevelar-ejective-palatalized		05 06	
				[t/s-hacek-ejective-palatalized]	61	(free)
		10	k-aspirated-labialized		01 08 09	
				[k-aspirated-weak-labialized]	60	
				[k/x-labialized]	62	(free)
		11	g-labialized		04 08 09	
		12	k-ejective-labialized		05 06 08 09	
		13	q/x-uvular-ejective		05 06 10	
		14	q/x-uvular-ejective-labialized		05 06 09 10 30	
		15	t/s-laminal		07 11	
		16	d/z-laminal		04 07	
		17	t/s-laminal-ejective		05 06 07	
		18	q/x-uvular		10	
		19	q/x-uvular-labialized		09 10 30	
		20	f		11	
		21	v		04	
		22	f-ejective		05 06	
		23	s-laminal		07 11	
		24	z-laminal		04 07	
		25	s-hacek		11 12	
		26	z-hacek		04 12	
		27	s-hacek-ejective		05 06 12	
		28	c-fricative-palatoalveolar		11 13	
		29	j-fricative-palatoalveolar		04 13	
		30	x-prevelar-palatalized		11 12 28	
		31	x-labialized		08 09 11 17	
		32	gamma-prevelar-palatalized		04 12 28	
		33	x-uvular		11	
		34	x-uvular-labialized		09 11 30	
		35	gamma-uvular		18	
		36	gamma-uvular-labialized		04 09 18 30	
		37	pharyngeal-voiceless		11	
		38	pharyngeal-voice		31	(loan)
		39	m			
		40	n-laminal		07	
		41	l-fricative-voice-palatalized		19	
		42	l-fricative-palatalized		19	
		43	l-fricative-ejective-palatalized		05 06 19	
				[t/l-fricative-ejective-palatalized]		(free)
		44	r-trill		24 32	
				[r-trill-voiceless]	64	
		45	glottal stop			
		46	glottal stop-labialized		09 30	
		47	h-voice			
				[h]	65	
		51	a-front-long		33	
				[alpha-unrounded-long]	66	
		52	i-bar			
				[i]	67	
				[i-trema]	68	
				[u]	69	
				[u-dot]	25 70	
		53	epsilon-dot		34	
				[epsilon]	67	
				[alpha-unrounded]	35 68	
				[o-open]	69	
				[o-open-dot]	25 70	
		54	yod		26	
		55	w		26 30	
		56	i-long			
		57	u-long			
		58	e-mid-long		27	
		59	o-mid-long		27	
400	Georgian	01	p-aspirated			
				[b-aspirated-half-voice]	60	
		02	p			
				[b]	61	
		03	p-ejective		02 03	
				[b-creaky voice]	62	
		04	t-aspirated		04	
				[d-aspirated-half-voice]	60	
		05	t		04	
				[d]	61	
		06	t-ejective		02 03 04	
				[d-creaky voice]	62	
		07	k-aspirated			
				[g-aspirated-half-voice]	60	
				[c-aspirated]	63	
				[j-aspirated-half-voice]	60 63	
		08	k			
				[g]	61	
				[c]	63	
				[j]	61 63	
		09	k-ejective		02 03	
				[g-creaky voice]	62	
				[c-ejective]	63	
				[j-creaky voice]	62 63	
		10	q-ejective		02 03 05	
				[q-creaky voice]	62	
				[gamma-uvular-creaky voice]	06 64	(free)
		11	t/s		07 08 09	
				[d/z]	61	
		12	t/s-aspirated		07 08	
				[d/z-aspirated-half-voice]	60	
		13	t/s-ejective		02 03 07 08	
				[d/z-creaky voice]	62	
		14	t/s-hacek		07 08	
				[d/z-hacek]	61	
		15	t/s-hacek-aspirated		07 08	
				[d/z-hacek-aspirated-half-voice]	60	
		16	t/s-hacek-ejective		02 03 07 08	
				[d/z-hacek-creaky voice]	62	
		17	s		10	
				[z-half-voice]	65	
		18	z		10	
				[s-lax]	66	(free)
		19	s-hacek		10 11 12	
		20	z-hacek		10 12	
				[s-hacek-lax]	66	(free)
		21	x-uvular		13 14	
		22	gamma-uvular		13 14 15	
				[x-uvular-lax]	67	(free)
				[gamma-uvular-half-voice]	68	(free)
		23	beta		16 17	
				[w]	69	(free)
				[v]	70	(free)
				[phi]	71	(free)
				[w-voiceless]	71	(free)
				[i-trema-over-short]	18 72	(free)
		24	m			
				[m-voiceless]	73	
				[m-half-voice]	74	
		25	n		19	
				[n-voiceless]	73	
				[n-half-voice]	74	
				[eng]	75	
				[n-uvular]	75	
				[n-palatoalveolar]	75	
		26	l-velarized		20	
				[l-voiceless-velarized]	73 76	
				[l-half-voice-velarized]	74	
				[l]	77	
		27	r-trill		21 22	
				[r-trill-voiceless]	73 76 78	
				[r-trill-half-voice]	74	(free)
				[r-flap]	79	(free)
		28	h		30	(limited,loan)
		51	iota			
				[iota-backed]	80	
		52	e-mid			
				[e]	81	
				[e-mid-backed]	80	
		53	schwa-over-short		82	(transitional)
		54	a-front			
				[alpha-unrounded]	24 83	
		55	upsilon		25	
				[upsilon-fronted]	84	
		56	o-mid		25	
		57	yod		85	(transitional)
405	Burushaski	01	p			
		02	p-aspirated			
				*[f]		
				[p/f]		(free)
		03	b			
		04	t			
		05	t-aspirated			
		06	d			
		07	t-retroflex			
		08	t-retroflex-aspirated			
		09	d-retroflex		01	
		10	k			
		11	k-aspirated			
		12	g			
		13	q			
		14	q-aspirated			
				*[x-uvular]		
		15	t/s			
		16	t/s-aspirated		02	
		17	t/s-hacek-retroflex			
		18	t/s-hacek-retroflex-aspirated		02	
		19	d/z-hacek-retroflex			
				[z-hacek-retroflex]		(free)
		20	t/s-hacek			
		21	t/s-hacek-aspirated		02	
		22	d/z-hacek			
				[z-hacek]		(free)
		23	f		30 31 32	(loan,free)
				*/p-aspirated/		
		24	s			
		25	z			
		26	s-hacek-retroflex			
		27	s-hacek			
		28	x-uvular		31 32 33 61 62	(loan,free)
				*/q-aspirated/		
				*/h/		
		29	gamma-uvular			
		30	m			
		31	n			
				[n-retroflex]	63	
		32	eng		34	
		33	l			
		34	r		35	
		35	r-fricative-retroflex		03 04	
		36	h		36	
				*[x-uvular]		
		51	i			
				*[u-trema]		
				[iota]	64	
		52	i-long			
		53	e-mid			
				[epsilon]	65	(free)
		54	e-mid-long			
		55	a			
				[schwa]	66	
				[ash]	67	
				[caret]	68	
		56	a-long			
		57	u			
				[upsilon]	64	
				[u-trema]	07 70	(free,neutral)
				*/i/		
		58	u-long			
		59	o-mid			
				[o-open]	69	(free)
		60	o-mid-long			
		61	yod			
		62	w			
		63	a-long-nasalized		05	(limited)
		64	u-long-nasalized		06	(limited)
		81	high-falling		37	
		82	mid		08 37	
		83	low-rising		37	
410	Kurukh	01	p			
		02	p-long			
		03	b			
		04	t-dental		01	
		05	t-dental-long		01	
		06	d-dental		01	
		07	d-dental-long		01	
		08	t-retroflex		01	
		09	t-retroflex-long		01	
		10	d-retroflex		01 31	
				*[r-trill-retroflex]		
		11	d-retroflex-long		01	
		12	t/s-hacek		02	
		13	t/s-hacek-long		02	
		14	d/z-hacek		02	
		15	d/z-hacek-long		02	
		16	k			
		17	k-long			
		18	g			
		19	s-dental		01	
		20	s-dental-long		01	
		21	x-uvular			
				[x]	61	
		22	m			
		23	n-dental		01	
				*[n-retroflex]		
		24	eng			
				[n-retroflex]	30 60	(loan,allo)
				*/n/		
		25	l		01	
		26	l-long		01	
		27	r-trill		01	
		28	r-trill-long		01	
		29	r-trill-retroflex		31	(tag(+),free)
				*/d-retroflex/		
				[r-trill-retroflex-nasalized]	62	(free)
		30	glottal stop		33	
		31	h			
		32	p-aspirated			
		33	b-breathy voice			
		34	t-dental-aspirated		01	
		35	d-dental-breathy voice		01	
		36	t-retroflex-aspirated		01	
		37	d-retroflex-breathy voice		01	
		38	k-aspirated			
		39	g-breathy voice			
		40	t/s-hacek-aspirated		02	
		41	d/z-hacek-breathy voice		02	
		42	n-retroflex		30 60	(allo,loan)
				*/n-dental/		
		51	i			
		52	i-long			
		53	i-nasalized			
		54	i-long-nasalized			
		55	e-mid			
		56	e-mid-long			
		57	e-mid-nasalized			
		58	e-mid-long-nasalized			
		59	schwa			
				[iota-bar]	63	(free)
				[ash-dot]	63	
		60	schwa-long		34	
		61	a			
		62	a-long			
		63	a-nasalized			
		64	a-long-nasalized			
		65	u			
		66	u-long			
		67	u-nasalized			
		68	u-long-nasalized			
		69	o-mid			
		70	o-mid-long			
		71	o-mid-nasalized			
		72	o-mid-long-nasalized			
		73	yod			
				[e-glide]	65	
				[yod-nasalized]	64	
		74	w			
				[w-nasalized]	64	
				[o-glide]	65	
		75	yod-long			
				[yod-long-nasalized]	64	
		76	w-long			
				[w-long-nasalized]	64	
415	Telugu	01	p			
		02	p-long			
		03	p-aspirated		30	(loan)
		04	b			
		05	b-long			
		06	b-breathy voice		30	(loan)
		07	t		01	
		08	t-long			
		10	d		01	
				[eth]	60	
		11	d-long			
		12	d-breathy voice		30 31	(loan)
		13	t-retroflex		02	
		14	t-retroflex-long			
		15	t-retroflex-aspirated		30	(loan)
		16	d-retroflex		02	
				[r-flap-retroflex]	03 60	
		17	d-retroflex-long			
		18	d-retroflex-breathy voice		30	(loan)
		19	k			
				[k-lax]	60	
		20	k-long			
		21	k-aspirated		30	(loan)
		22	g			
				[g-lax]	60	
		23	g-long			
		24	g-breathy voice		30	(loan)
		25	t/s		32	
				*[t/s-hacek]		
		26	t/s-long			
				[t/s-hacek-long]	61	
		27	d/z			
				[d/z-hacek]	61	
		28	d/z-long			
				[d/z-hacek-long]	61	
		29	t/s-hacek		32 61	(allo,loan)
				*/t/s/		
		33	f		33	(loan)
		35	s		34	(restricted)
				*[s-hacek]		
		37	s-hacek-retroflex			
		39	s-hacek		34	(tag(-),free,allo)
				*/s/		
		41	m			
				[w-nasalized]	62	
		42	m-long			
		43	n		06 35 36	
				[eng]	63	
				[n-palatal]	64	
		44	n-long			
		45	n-retroflex		35	
		47	l			
				[l-dental]	65	
		48	l-long			
		49	l-retroflex			
		50	l-retroflex-long			
		51	r-flap		07	
		52	r-trill-long			
		53	h-voice			
		51	i			
				*[iota]		
		52	iota		09 66	(allo,surface)
				*/i/		
		53	i-long			
				*[iota-long]		
		54	iota-long		66	(allo,surface)
				*/i-long/		
		55	e			
				*[epsilon]		
		56	epsilon		10 66	(allo,surface)
				*/e/		
		57	e-long			
				*[epsilon-long]		
				*[ash-long]		
		58	epsilon-long		66	(allo,surface)
				*/e-long/		
		59	ash-long		11 12 37	(tag(-),free)
				*/e-long/		
		60	schwa			
				*[alpha-unrounded]		
				[ash-dot]	13 67	
		61	alpha-unrounded		14 66	(allo,surface)
				*/schwa/		
		62	a-long			
				*[alpha-long]		
				[a-front-long]	15 68	
		63	alpha-long		66	(allo,surface)
				*/a-long/		
		64	u		16 17	
				*[upsilon]		
		65	upsilon		18 66	(allo,surface)
				*/u/		
		66	u-long		17	
				*[upsilon-long]		
		67	upsilon-long		66	(allo,surface)
				*/u-long/		
		68	o		17	
				*[o-mid]		
		69	o-mid		66	(allo,surface)
				*/o/		
		70	o-long		17	
				*[o-open-long]		
		71	o-open-long		66	(allo,surface)
				*/o-long/		
		72	yod			
		73	beta-approximant		19	
				[w]	69	
		74	beta-approximant-long		20	
420	Kota	01	p-aspirated		01 02	
				[p-aspirated-palatalized]	60	
				[p]	61	
		02	b		02	
				[b-palatalized]	60	
		03	t-dental-aspirated		01 02	
				[t-dental-aspirated-palatalized]	60	
				[t-dental]	61	
		04	d-dental		02 03	
				[d-dental-palatalized]	60	
				[d/eth]		(free)
				[eth]		(free)
		05	t-aspirated		01 02	
				[t-aspirated-palatalized]	60	
				[t]	61	
		06	d		02	
				[d-palatalized]	60	
		07	t-retroflex-aspirated		01 02	
				[t-retroflex-aspirated-palatalized]	60	
				[t-retroflex]	61	
		08	d-retroflex		02	
				[d-retroflex-palatalized]	60	
		09	k-aspirated		01 02	
				[k-aspirated-palatalized]	60	
				[k]	61	
		10	g		02 03	
				[g-palatalized]	60	
				[g/gamma]		(free)
				[gamma]		(free)
		11	t/s-hacek-aspirated		01 02	
				[t/s-hacek-aspirated-palatalized]	60	
				[s]		(free)
				[s-palatalized]	60	(free)
				[t/s-hacek]	61	
		12	d/z-hacek		02	
				[d/z-hacek-palatalized]	60	
				[z]		(free)
				[z-palatalized]	60	(free)
		13	v			
				[v-palatalized]	60	
		14	s-retroflex			
		15	m			
				[m-palatalized]	60	
		16	n			
				[n-unreleased]	62	
				[n-unreleased-palatalized]	60 62	
				[n-palatalized]	60	
		17	n-retroflex			
				[n-retroflex-palatalized]	60	
		18	eng			
				[eng-palatalized]	60	
		19	l			
				[l-palatalized]	60	
		20	l-retroflex			
				[l-retroflex-palatalized]	60	
		21	r-trill			
				[r-trill-palatalized]	60	
				[r-flap]	64	
		22	r-flap-retroflex			
				[r-flap-retroflex-palatalized]	60	
		51	i			
		52	i-long			
		53	e-mid			
				[e/e-mid]	04 65	
		54	e-mid-long			
				[e/e-mid-long]	04 65	
		55	schwa		05	(transitional)
		56	a			
		57	a-long			
		58	u			
		59	u-long			
		60	o-mid			
				[o/o-mid]	04 65	
		61	o-mid-long			
				[o/o-mid-long]	04 65	
		62	yod			
425	Mundari	01	p		01 03	
				[p-unreleased-glottalized]	60	
		02	p-aspirated		03	
		03	b-preglottalized		01 03	
				[b-preglottalized-labialized]	61	
		04	b-breathy voice		03	
		05	t		01 03	
				[t-unreleased-glottalized]	60	
				[n-glottalized]	05 62	
		06	t-aspirated		03	
		07	d-preglottalized		01 03	
		08	d-breathy voice		03	
		09	t-retroflex		01 03 06	
				[t-retroflex-unreleased-glottalized]	60	
		10	t-retroflex-aspirated		03	
		11	d-retroflex-preglottalized		01 03	
				[r-flap-retroflex]	63	
		12	d-retroflex-breathy voice		03	
		13	k		01 03 07	
				*[glottal stop]		
		14	k-aspirated		03 07	
		15	g-preglottalized		01 03 07	
		16	g-breathy voice		03 07	
		17	t/s-hacek		01 03 08	
		18	t/s-hacek-aspirated		03 08	
		19	d/z-hacek-preglottalized		01 03 08	
		20	d/z-hacek-breathy voice		03 08	
		21	s		09 10 11	
		22	m		11	
		23	n		11 30	
				[eng]	64	
				[yod-nasalized]	65	(allo,free)
				[n-palatal]	66	(allo,free)
		24	n-retroflex		11	
				[r-flap-retroflex-nasalized]	67	
		25	l		11	
		26	l-retroflex			
		27	r-trill		13	
		28	h		10	
		29	glottal stop		31 68	(transitional,allo)
				*/k/		
		30	eng-long		32	(surface)
		51	iota			
				[iota-nasalized]	14 69	
		52	e-mid			
				[e-mid-nasalized]	14 69	
		53	a			
				[schwa]	70	
				[a-front]	71	
				[caret]	72	
				[a-nasalized]	14 69	
		54	upsilon			
				[upsilon-nasalized]	14 69	
		55	o-mid			
				[o-mid-nasalized]	14 69	
		56	yod			
		57	w			
430	Kharia	01	p		01	
		02	p-aspirated		02	
				[f]	60	(free)
		03	b			
				[b-unreleased-postglottalized]	03 61	(allo,restricted)
		04	b-breathy voice			
		05	t		01	
				[t-interdental]		(free)
		06	t-aspirated		02	
		07	d			
		08	d-breathy voice			
		09	t-retroflex		01 04	
		10	t-retroflex-aspirated		02	
		11	d-retroflex		04	
				[d-retroflex-unreleased-postglottalized]	03 61	(allo,restricted)
				[d-unreleased-postglottalized]	61	(free)
		12	d-retroflex-breathy voice			
				[r-flap-retroflex-breathy voice]	62	(free,restricted)
		13	k		01	
		14	k-aspirated		02	
		15	g			
				[glottal stop]	61	(allo,restricted,neutral)
		16	g-breathy voice			
		17	t/s-hacek		01	
		18	t/s-hacek-aspirated		02	
		19	d/z-hacek			
				[j-unreleased-postglottalized]	03 61	(allo,restricted)
		20	d/z-hacek-breathy voice			
		21	s			
		22	m			
				[m-syllabic]	63	
		23	n			
				[n-dental]	65	
				[n-syllabic]	63	
				[r-flap-retroflex-nasalized]	65	(free)
				[n-retroflex]	65	(allo,restricted)
		25	n-palatal			
				[n-palatal-syllabic]	63	
		26	eng			
				[eng-prevelar]	66	
				[eng-syllabic]	63	
		27	l			
				[l-syllabic]	63	
				[l-velarized]	64	
				[l-retroflex]	64	
		28	r-flap		05	
				[r-trill]	67	(free)
		29	r-flap-retroflex		06	
		31	h-voice		07	
		51	i			
				[iota]	68 71	
		52	i-nasalized			
		53	e			
				[epsilon]	68 72	(allo,restricted)
		54	epsilon-nasalized			
		55	a			
				[schwa]	69	(allo,free,restricted)
		56	a-nasalized			
		57	u			
				[upsilon]	68 71	
		58	u-nasalized			
		59	o			
				[o-open]	68 72	
		60	o-nasalized			
		61	yod			
				[epsilon-glide]	70	
		62	w			
				[o-open-glide]	70	
435	Khasi	01	p		01	
				[p-unreleased]	60	(allo,neutral)
		02	p-aspirated		01	
				[phi]	61	(free)
		03	b		01	
		04	t		01	
				[t-unreleased]	60	(allo,neutral)
		05	t-aspirated		01	
		06	d		01	
		07	k		01	
				[k-unreleased]	60	(allo,neutral)
		08	k-aspirated		01	
		09	d/z-hacek			
				[c-unreleased]	60	
		10	s			
		11	s-hacek			
		12	m			
				[m-syllabic]	62	
		13	n			
				[n-syllabic]	62	
		14	n-palatal			
		15	eng			
				[eng-syllabic]	62	
		16	l-retroflex			
				[l-retroflex-syllabic]	62	
		17	r-trill			
				[r-trill-syllabic]	62	
		18	glottal stop		30	
		19	h			
		51	i			
				[i-long]	63	(free)
				[iota]	64	
		52	e			
				[e-long]	63	(free)
				[epsilon]	66	
				[epsilon-long]	65	
		53	a			(tag(-),free)
				*/a-long/		
		54	a-long		31	
				*[a]		
		55	u			
				[u-long]	63	(free)
				[upsilon]	64	
		56	o			
				[o-long]	63	(free)
				[o-open]	68	
				[o-open-long]	67	
		57	iota-glide		03	
				[iota-glide-voiceless]	69	
		58	upsilon-glide		03 04	
		59	schwa		32	(transitional)
440	Sedang	01	p			
		02	p-aspirated		01	
		03	b-prenasalized			
		04	b-preglottalized		02	
		05	t			
		06	t-aspirated		01	
		07	d-prenasalized			
		08	d-preglottalized		02	
		10	k			
				[k-labialized]	07	(free)
		11	k-aspirated		01	
		12	g-prenasalized			
		13	t/s-hacek			
		14	d/z-hacek-prenasalized			
		17	s			
		18	s-hacek		03	
		19	m		11	
				[m-creaky voice]	60	
		20	m-preglottalized		02	
		21	m-voiceless		04	
		22	n		11	
				[n-creaky voice]	60	
		23	n-preglottalized		02	
		24	n-voiceless		04	
		25	n-palatal			
		26	n-palatal-preglottalized		02	
		27	n-palatal-voiceless		04	
		28	eng		11	
				[eng-creaky voice]	60	
		29	eng-preglottalized		02	
		30	eng-voiceless		04	
		31	l		06	
		32	l-preglottalized		02	
		33	l-voiceless		04	
		34	r-trill		05 06	
		35	r-trill-preglottalized		02 05	
		36	r-trill-voiceless		04 05	
		37	glottal stop		11	
		38	h			
		51	i			
		52	i-creaky voice		08 11	
		55	e			
				*[epsilon]		
		57	e-creaky voice		08 11	
		58	epsilon			(tag(+),free)
				*/e/		
				[ash]		(free)
				[iota]	63	(free)
		60	epsilon-creaky voice		08 11	
		61	a			
				[schwa]	61 64	(allo,neutral)
				*/o/		
		63	a-creaky voice		08 11	
		65	u			
		67	u-creaky voice		08 11	
		68	o			
				*[schwa]		
		70	o-creaky voice		08 11	
		72	o-open			
		74	o-open-creaky voice		08 11	
		75	yod		03 12	
				[yod-creaky voice]	60	
				[yod-nasalized]	62	
				[yod-creaky voice-nasalized]	60 62	
		78	w			
				[w-creaky voice]	60	
				[w-nasalized]	62	
				[w-creaky voice-nasalized]	60 62	
		79	w-voiceless		04	
		80	w-preglottalized		02	
445	Cambodian	01	p			
				[p-unreleased]	60	
		02	p-aspirated			
		03	b-implosive		31	
		04	t			
				[t-unreleased]	60	
		05	t-aspirated			
		06	d-implosive		31	
		07	t/s-hacek		01	
				[c-unreleased]	60	
		08	t/s-hacek-aspirated		01	
		09	k			
				*[glottal stop]		
				[k-unreleased]	60	
		10	k-aspirated			
		11	s		61	
				*[h]		
		12	m			
		13	n			
		14	n-palatal			
		15	eng			
		16	l-velarized		02	
		17	r-flap-retroflex		03	
				[r-trill-retroflex]		(free)
				[r-approximant]		(free)
		18	glottal stop		32	(tag(-),free)
				*/k/		
		19	h		61	(tag(-),free)
				*/s/		
		51	i-long			
		52	iota			
		53	e-long-advanced			
		54	e/i-retracted		08	
		55	epsilon			
		56	epsilon-long-advanced			
		57	i-bar-long		09	
		58	iota-bar		10	
		59	schwa			
		60	schwa-long-advanced			
		61	schwa/i-bar-retracted		08	
		62	a-front			
		63	a-front-long-retracted			
		64	u-long			
		65	upsilon			
		66	o-open		12	
		67	o-long-advanced			
		68	o/u-retracted		08	
		69	o-open-long-advanced			
		70	alpha			
		71	alpha-long			
		72	yod			
				[j-fricative]	62	
		73	v-approximant		14	
450	Vietnamese	01	b-implosive		01	
				[p-unreleased]	07 60	
		03	t		03 04	
				[t-unreleased]	06 07 60	(allo,neutral)
		04	t-aspirated		08 09	
		05	d-implosive		01	
		06	c		10	
				[c-unreleased]	07 13 60	
		07	k		04	
				[k-unreleased]	07 60	
				[k-unreleased-labialized]	07 14 61	
				[k/p-unreleased]	61	(free)
		08	f		09	
		09	v		09	
		10	s		09 15	
		11	z		09 16	
		12	x		09	
				[k/x]	62	(free)
		13	gamma		09	
				[g]	63	
		14	m		17	
		15	n		17	
		16	n-palatal		17	
		17	eng		17	
				[eng-labialized]	14 18 61	
				[eng/m]	61	(free)
		18	l		09 21	
		19	glottal stop		30	
		20	h		09	
		51	iota			
				[i]	64	
				[iota-bar]	31 65	(neutral,allo)
				[iota/yod]	32 66	
		52	e			
				[e-dot]	22 31 65	(neutral,allo)
				[e/yod]	23 32 66	
		53	epsilon			
				[epsilon/caret-glide]	67	(free)
		54	a-front-long		24	
		55	ash-dot		24	
		56	iota-trema			
				[iota-trema/yod-trema]	32 66	
		57	upsilon			
				[u]	64	
				[upsilon/w]	32 66	
		58	e-trema			
				[e-trema/yod-trema]	32 66	
		59	o			
				[o-mid]	68	
				[o-mid/w]	32 66 68	
		60	caret			
				[epsilon-dot]	65	
		61	o-open			
				[o-open/caret-glide]	67	(free)
		62	yod		27	
		63	w			
		64	caret-glide			
				[e-dot-glide]	69	
				[epsilon-dot-glide]	69	
				[o-mid-dot-glide]	69	
		81	high-rising		29	
		82	high-rising-creaky voice		41	
		83	mid		43	
				[mid-falling]	71	
		84	low-falling-breathy voice		47	
		85	low-falling		49	
				[low-falling-rising]	51 72	
		86	low-creaky voice		35 53	
				[low]	54 73	(neutral,allo)
455	Mandarin Chinese	01	p		01	
				[b]	60	
		02	p-aspirated		01	
				[p-aspirated-weak]	61	
		03	t		01	
				[d]	60	
		04	t-aspirated		01	
				[t-aspirated-weak]	61	
		05	k		01	
				[g]	60	
		06	k-aspirated		01	
				[k-aspirated-weak]	61	
		08	t/s		01 02 30	
				[d/z]	60	(free)
		09	t/s-aspirated		01 02	
				[t/s-aspirated-weak]	61	(free)
		10	t/s-retroflex		01 03 31	
