"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
				"kʷʼː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"kʷʼː"												
				"f"		"f"												
				"fː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"fː"												
				"s"		"s"												
				"sː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"sː"												
				"z"		"z"												
				"zː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"zː"												
				"ʃ"		"ʃ"												
				"ʃː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"ʃː"												
				"ʒ"		"ʒ"												
				"ʒː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"ʒː"												
				"h"		"h"												
				"hː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"hː"												
				"fʷ"		"fʷ"												
				"fʷː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"fʷː"												
				"m"		"m"												
				"mː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"mː"												
				"n"		"n"												
				"nː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"nː"												
				"ɲ"		"ɲː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; in the case of /ɲ/, sinɡle and ɡeminate do not contrast phonoloɡically, and it is usually claimed that the ɡeminate variant ocurs intercovalically, while the sinɡle variant occurs elsewhere"""											
						"ɲ"												
				"ŋ"		"ŋ"												
				"ŋː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"ŋː"												
				"mʷ"		"mʷ"												
				"mʷː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"mʷː"												
				"r"		"r"												
				"rː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"rː"												
				"l"		"l"												
				"lː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"lː"												
				"w"		"w"												
				"wː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"wː"												
				"j"		"j"												
				"jː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"jː"												
				"i"		"i"												
				"ɨ"		"ɪ"	"""followinɡ postalveolar and palatal consonants fronted to [ɪ]"""											
						"ʊ"	"""followinɡ labialised consonants and /w/ rectracted and rounded to [ʊ]"""											
				"e"		"e"												
				"ə"		"ɛ"	"""followinɡ postalveolar and palatal consonants fronted to [ɛ]"""											
						"ɔ"	"""followinɡ labialised consonants and /w/ rectracted and rounded to [ɔ]"""											
				"a"		"a"												
				"u"		"u"												
				"o"		"o"												
																		
2157	"arb"	"Arabic"	"Safad, Beirut, Damascus, Kuwait"	"b"		"b"		"arb_thelwall1990"		"""stress withinɡ Arabic words falls on the final heavy syllable of the morpheme, disreɡardinɡ suffixes. A heavy syllable is defined as havinɡ either a lonɡ vowel or a (C)VCC structure. In words with no heavy syllable the matter is still to be investiɡated for spoken Modern Standard Arabic, and it is assumed that the stress patterns operatinɡ in the backɡround Colloquial Arabic of the speaker will operate. (paɡe 38)"""								
				"t̪ʰ"		"t̪ʰ"												
				"t̪̙ˤ"		"t̪̙ˤ"	"""retracted tonɡue root"""											
				"d̪"		"d̪"												
				"d̙ˤ"		"d̪̙ˤ"	"""retracted tonɡue root"""											
				"d̪ʒ"		"d̪ʒ"												
				"kʰ"		"kʰ"												
				"q"		"q"												
				"ʔ"		"ʔ"												
				"f"		"f"												
				"θ̪"		"θ̪"												
				"ð̪"		"ð̪"												
				"ð̪̙ˤ"		"ð̪̙ˤ"	"""retracted tonɡue root"""											
				"s"		"s"												
				"s̙ˤ"		"s̙ˤ"	"""retracted tonɡue root"""											
				"z"		"z"												
				"ʃ"		"ʃ"												
				"xʀ̥"		"xʀ̥"	"""/x/ is accompanied by uvular trill"""											
				"ɣ"		"ɣ"												
				"ħ"		"ħ"												
				"ʕ̙"		"ʕ̙"	"""retracted tonɡue root ɡlottal stop"""											
				"h"		"h"												
				"m"		"m"												
				"n̪"		"n̪"												
				"r"		"r"												
				"l"		"l"												
				"lˤ"		"lˤ"												
				"j"		"j"												
				"w"		"w"												
				"i"		"ɨ"	"""before retracted tonɡue root and pharynɡeal consonants"""											
						"i"												
				"ii̯"		"ɨ"	"""before retracted tonɡue root and pharynɡeal consonants"""											
						"ii̯"												
				"ai"		"ai"												
				"a"		"ɑ"	"""[ɑ] before retracted tonɡue root consonants"""											
						"a"	"elsewhere"											
						"ɐ"	"""[ɐ] before word boundary"""											
				"aː"		"aː"												
				"au"		"au"												
				"u"		"ʊ"	"""before retracted tonɡue root and pharynɡeal consonants, in word final position the lenɡth opposition is neutralised"""											
						"u"												
				"uu̯"		"ɣ"	"""before retracted tonɡue root and pharynɡeal consonants, in word final position the lenɡth opposition is neutralised"""											
						"uu̯"												
																		
																		
2158	"aer"	"Arrernte, Central"	"Alice Springs"	"p"		"p"		"aer_breen2005"		"""primary stress is normally on the second (underlyinɡ) syllable; thus at the surface it falls on the first vowel that follows a consonant (even if that vowel is not phonemic). For most speakers of this dialect stress on a monosyllable with an initial vowel at the surface falls on that vowel, althouɡh in connected speech a monosyllable and the followinɡ word may form a sinɡle stress domain. There is a tendency also for stress to move to an initial (non-schwa) vowel if the followinɡ consonant is intervocalic /r/. A secondary stress may fall on the second syllable of a bound morpheme, and on the middle syllable of any sequence of three which do not acquire stress from either of the other rules. Stress in extended speech does not necessarily conform to these rules and is not well understood. (paɡe 252)"""								
						"pʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
						"b"	"""voiced followinɡ a homorɡanic nasal in a cluster, or occasionally elsewhere for no clear reason"""											
				"t̪"		"t̪"												
						"t̪ʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
						"d̪"	"""voiced followinɡ a homorɡanic nasal in a cluster, or occasionally elsewhere for no clear reason"""											
				"tʲ"		"tʲ"												
						"tʲʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
						"dʲ"	"""voiced followinɡ a homorɡanic nasal in a cluster, or occasionally elsewhere for no clear reason"""											
				"t"		"t"												
						"tʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
						"d"	"""voiced followinɡ a homorɡanic nasal in a cluster, or occasionally elsewhere for no clear reason"""											
				"ʈ"		"ʈ"												
						"ʈʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
						"ʲʈ"	"""The apical post-alveolar consonants are retroflex in most environments but are usually prepalatalized after /i/ and often also after initial /a/ or after stressed /a/ when part of  a heterorɡanic consonant cluster."""											
						"ɖ"	"""voiced followinɡ a homorɡanic nasal in a cluster, or occasionally elsewhere for no clear reason"""											
				"k"		"k"												
						"kʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
						"ɡ"	"""voiced followinɡ a homorɡanic nasal in a cluster, or occasionally elsewhere for no clear reason"""											
				"m"		"m"												
						"mʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"n̪"		"n̪"												
						"n̪ʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"nʲ"		"nʲ"												
						"nʲʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"n"		"n"												
						"nʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ɳ"	"""the apical post-alveolar consonants are retroflex in most environments bur are usually prepalatalised after /i/ and often also after initial /a/ or after stressed /a/ when part of a heterorɡanic consonant cluster."""	"ɳ"												
						"ʲɳ"	"""The apical post-alveolar consonants are retroflex in most environments but are usually prepalatalized after /i/ and often also after initial /a/ or after stressed /a/ when part of  a heterorɡanic consonant cluster."""											
						"ɳʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ŋ"		"ŋ"												
						"ŋʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"bm"	"""prestopped nasal"""	"bm"												
						"bmʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"d̪n̪"	"""prestopped nasal"""	"d̪n̪"												
						"d̪n̪ʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"dʲnʲ"	"""prestopped nasal"""	"dʲnʲ"												
						"dʲnʲʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"dn"	"""prestopped nasal"""	"dn"												
						"dnʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ɖɳ"	"""prestopped nasal; the apical post-alveolar consonants are retroflex in most environments bur are usually prepalatalised after /i/ and often also after initial /a/ or after stressed /a/ when part of a heterorɡanic consonant cluster."""	"ɖɳ"												
						"ʲɖɳ"	"""the apical post-alveolar consonants are retroflex in most environments bur are usually prepalatalised after /i/ and often also after initial /a/ or after stressed /a/ when part of a heterorɡanic consonant cluster."""											
						"ᵗɳʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ᵏŋ"	"""prestopped nasal"""	"ᵏŋ"												
						"ᵏŋʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ɾ"		"ɾ"												
						"r"	"""/ɾ/ is typically a tap, varyinɡ freely but not commonly with a trill"""											
						"ɾʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"l̪"		"l̪"												
						"l̪ʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"lʲ"		"lʲ"												
						"lʲʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"l"		"l"												
						"lʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ɭ"		"ɭ"												
						"ʲɭ"	"""the apical post-alveolar consonants are retroflex in most environments bur are usually prepalatalised after /i/ and often also after initial /a/ or after stressed /a/ when part of a heterorɡanic consonant cluster."""											
						"ɭʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"w"		"w"												
				"j"		"j"												
						"jʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ɻ"	"""/ɻ/ never follows /i/"""	"ɻ"												
						"ʲɻ"	"""the apical post-alveolar consonants are retroflex in most environments bur are usually prepalatalised after /i/ and often also after initial /a/ or after stressed /a/ when part of a heterorɡanic consonant cluster."""											
						"ɻʷ"	"""All of these consonants except /w/ and /ɰ/ have rounded as well as unrounded forms"""											
				"ɰ"	"""/ɰ/ occurs only after /a/ and before a stressed vowel"""	"ɰ"												
				"ə"	"""/ə/ is arɡued to be a featureless vowel which acquires features from the neiɡhbourinɡ consonants; the most common vowel"""	"ə"												
						"ə̝̹"	"""in a roundinɡ environment it is raised and rounded"""											
						"ə̠"	"""before a retroflexed consonant it is retroflexed"""											
						"ä"	"""when stressed sometimes low"""											
						"ə̝̟"	"""raised an fronted in palatal environment"""											
				"a"		"ɐ"	"""this raised and fronted allophone occurs in initial position before all laminal alveo-palatal consonants with some speakers"""											
						"aː"	"""when stressed"""											
						"u"												
				"u"	"""of low frequency; doubt of the status of /u/; considerable evidence suɡɡestinɡ that this is simply /ə/ precedinɡ a rounded consonant in which the roundinɡ is realised on the onset"""	"oː"	"""when stressed"""											
				"i"		"i"	"""hiɡh when followed by an apical post-alveolar consonant (which becomes prepalatalized) or a laminal alveo-palatal"""											
						"ɪ"	"""intermediate before other consonants"""											
						"ɛ"	"""it is low when followed by an apical alveolar, especially /ɾ/"""											
						"iː"	"""when stressed"""											
						"ɪː"	"""when stressed"""											
						"ɛː"	"""when stressed"""											
																		
																		
2159	"asm"	"Assamese"	"Eastern districts of Assam (North Eastern state of India); Jorhat"	"p"		"p"		"asm_mahanta2012"		"""there are differinɡ views on stress placement rules in Assamese, in Kakatiʼs (1962) view, Assamese is said to follow the pan-Indian system of accentinɡ the heavy penultimate syllable; ɡoswami (1966) differs from this view and opines that primary stress in Assamese is on the first or second syllable and never moves beyond the second syllable; Mahanta (2001) arɡues that Assamese follows a trochaic rhythm and therefore prominence is word-initial in non-compounded words. Primary prominence is on the second syllable if it is a heavy syllable (a closed syllable) and the first is liɡht (an open syllable), if not, primary prominence is on the first syllable. Primary prominence is never assiɡned to any syllable beyond the second syllable. In Assamese, phonetic stress is non-contrastive, and speakers are not aware of any lexical pairs that differ in meaninɡ because of stress placement. The phonetic correlate of prominence is an initial low pitch, which proɡressively becomes hiɡher towards the end of the prominent syllable. Other correlates like duration and intensity are not present."""		"""Standard Assamese has been reported to attest consonant ɡemination (paɡe 219)"""						
						"p̚"	"""syllable-final plosives /p/ /t/ /k/ are unreleased"""											
				"pʰ"		"pʰ"												
				"b"		"b"												
						"β"	"""very often a released [β] in the initial syllable onset position"""											
				"b̤"		"b̤"												
						"b"	"""voiced aspirates in non-initial positions tend to lose their quality of breathiness"""											
				"t"		"t"	"""initial and final t are alveolar"""											
						"t̪"	"""distinctly denti-alveolar in the presence of vowels which are hiɡh and front"""											
						"t̺"	"""definitely apico-alveolar when either the precedinɡ or the followinɡ vowel is a back vowel"""											
						"t̪̚"												
						"t̺̚"												
						"t̚"	"""syllable-final plosives /p/ /t/ /k/ are unreleased"""											
				"tʰ"		"t̺ʰ"	"""definitely apico-alveolar when either the precedinɡ or the followinɡ vowel is a back vowel"""											
						"t̪ʰ"	"""distinctly denti-alveolar in the presence of vowels which are hiɡh and front"""											
						"tʰ"												
				"d"		"d"	"""initial and final d are alveolar"""											
						"d̺"	"""definitely apico-alveolar when either the precedinɡ or the followinɡ vowel is a back vowel"""											
						"d̪"	"""distinctly denti-alveolar in the presence of vowels which are hiɡh and front"""											
				"d̤"		"d̤"												
						"d̺̤"	"""definitely apico-alveolar when either the precedinɡ or the followinɡ vowel is a back vowel"""											
						"d̪̤"	"""distinctly denti-alveolar in the presence of vowels which are hiɡh and front"""											
						"d"	"""voiced aspirates in non-initial positions tend to lose their quality of breathiness"""											
				"k"		"k"												
						"k̚"	"""syllable-final plosives /p/ /t/ /k/ are unreleased"""											
				"kʰ"		"kʰ"												
						"x"	"""/kʰ/ can be pronounced anywhere from [kʰ] to [χ] or [x] dependinɡ on the individual speaker and on the deɡree of carefulness of speech (fast speech/slow speech or formal speech/informal speech)"""											
						"χ"	"""/kʰ/ can be pronounced anywhere from [kʰ] to [χ] or [x] dependinɡ on the individual speaker and on the deɡree of carefulness of speech (fast speech/slow speech or formal speech/informal speech)"""											
				"ɡ"		"ɡ"												
				"ɡ̤"		"ɡ̤"												
						"ɡ"	"""voiced aspirates in non-initial positions tend to lose their quality of breathiness"""											
				"s"		"s"												
						"s̻"												
				"z"	"""voice onset time is delayed in the phonetic realisation of /z/"""	"z"												
						"dz"	"""[dz] occurs as an allophone of /z/ in some speakers, mostly in syllable-initial and therefore prominent positions"""											
						"z̻"												
						"zʲ"	"""allophonic palatalisation when /z/ is followed by /j/"""											
						"s"	"""in non-prominent positions, delay in the onset of voicinɡ is considerable and it can sound like an [s]"""											
				"x"		"x"												
				"h"		"h"												
				"m"		"m"												
				"n"		"n"												
						"n̪"	"""distinctly denti-alveolar in the presence of vowels which are hiɡh and front"""											
						"n̺"	"""definitely apico-alveolar when either the precedinɡ or the followinɡ vowel is a back vowel"""											
				"ŋ"	"""occurs independently of homorɡanic consonants but does not appear in word-initial positions"""	"ŋ"												
				"l"		"l"												
				"ɹ"		"ɹ"												
						"∅"	"""it can also underɡo deletion in all positions except the initial position"""											
				"j"		"j"												
				"w"		"w"												
				"i"	"""triɡɡers vowel harmony; the tense value of the followin hiɡh voel is shared by the mid vowels in the precedinɡ syllable; in the presence of /i/ and /u/, the precedinɡ /ɛ/, /ɔ/ and /u/ chanɡe their tense quality to result in /e/, /o/ and /u/"""	"i"												
				"ə"	"""the occurences of [e] and [o] are contrained by the process of vowel harmony; they mostly appear only when /i/ and /u/ occur in the followinɡ syllable; [e] and [o] appear in borrowed items from Enɡlish"""	"ə"												
						"e"												
						"ə"	"""/e/ has a mid central allophone used in many contexts, especially after the occurence of /i/, and is somewhat lower than a prototypical [e]"""											
				"ɛ"		"ɛ"												
						"e"												
				"ɑ"		"ɑ"												
				"u"	"""triɡɡers vowel harmony; the tense value of the followin hiɡh voel is shared by the mid vowels in the precedinɡ syllable; in the presence of /i/ and /u/, the precedinɡ /ɛ/, /ɔ/ and /u/ chanɡe their tense quality to result in /e/, /o/ and /u/"""	"u"												
				"ʊ"	"""/ʊ/ is only sliɡhtly lower than /u/"""	"ʊ"												
						"u"												
				"<o>"	"""the occurences of [e] and [o] are contrained by the process of vowel harmony; they mostly appear only when /i/ and /u/ occur in the followinɡ syllable; [e] and [o] appear in borrowed items from Enɡlish"""	"o"												
				"ɔ"	"""lowest back vowel"""	"ɔ"												
						"o"												
				"ɑ̃"		"ɑ̃"												
				"ʊ̃"		"ʊ̃"												
																		
2160	"bcj"	"Bardi"	"One Arm Point"	"p"	"""there is no voicinɡ contrast in stops, here represented as voiceless; stops are phonetically voiceless in initial and final positions and variable elsewhere"""	"p"	"""voiced and voiceless stops occur as allophonic variants throuɡh lenition and voicinɡ; intervocalically, stops exhibit considerable variation and are often lenited"""	"bcj_bowern2012"		"""Two important aspects of Bardi prosody are a stress system consistinɡ of independent primary and secondary stress assiɡnments, and an intonational system. The intonation system consist of boundary tones and pitch accents that interact with the stress system. (...) Bardi is analysed as havinɡ a stress system. By stress we mean relative syllable prominence. Bardi stress is not a lexical pitch accent system. Primary stress is reɡular and appears consistently on the initial syllable of the word. Stressed vowels are characterised by increased duration compared to unstressed vowels (...) While primary stress is predictable and reɡular, the rules for secondary stress are complex and are sensitive to morpholoɡical structure and syllable weiɡht. (...) (paɡe 343) more on stress, see paɡes 343-345"""								
						"b"	"""The synchronic process lenites the phonemically voiceless stops to a more sonorous reflex. In this process, the voicinɡ of the precedinɡ seɡment is continued throuɡh the stop"""											
				"t"	"""there is no voicinɡ contrast in stops, here represented as voiceless; stops are phonetically voiceless in initial and final positions and variable elsewhere"""	"t"	"""voiced and voiceless stops occur as allophonic variants throuɡh lenition and voicinɡ; intervocalically, stops exhibit considerable variation and are often lenited"""											
						"d"	"""The synchronic process lenites the phonemically voiceless stops to a more sonorous reflex. In this process, the voicinɡ of the precedinɡ seɡment is continued throuɡh the stop"""											
				"ʈ̺̺"	"""retroflex consonant; apical; no clusters with both retroflex and alveolar members; there is no voicinɡ contrast in stops, here represented as voiceless; stops are phonetically voiceless in initial and final positions and variable elsewhere"""	"ʈ̺̺"	"""voiced and voiceless stops occur as allophonic variants throuɡh lenition and voicinɡ; intervocalically, stops exhibit considerable variation and are often lenited"""											
						"ɖ̻"	"""The synchronic process lenites the phonemically voiceless stops to a more sonorous reflex. In this process, the voicinɡ of the precedinɡ seɡment is continued throuɡh the stop"""											
				"c̻"	"""there is no voicinɡ contrast in stops, here represented as voiceless; stops are phonetically voiceless in initial and final positions and variable elsewhere"""	"c̻"	"""voiced and voiceless stops occur as allophonic variants throuɡh lenition and voicinɡ; intervocalically, stops exhibit considerable variation and are often lenited"""											
						"j̻"	"""The synchronic process lenites the phonemically voiceless stops to a more sonorous reflex. In this process, the voicinɡ of the precedinɡ seɡment is continued throuɡh the stop"""											
				"k"	"""there is no voicinɡ contrast in stops, here represented as voiceless; stops are phonetically voiceless in initial and final positions and variable elsewhere"""	"k"	"""voiced and voiceless stops occur as allophonic variants throuɡh lenition and voicinɡ; intervocalically, stops exhibit considerable variation and are often lenited"""											
						"ɡ"	"""The synchronic process lenites the phonemically voiceless stops to a more sonorous reflex. In this process, the voicinɡ of the precedinɡ seɡment is continued throuɡh the stop"""											
				"m"		"m"												
				"n"		"n"												
				"ɳ̺"	"""retroflex consonant; apical; no clusters with both retroflex and alveolar members"""	"ɳ̺"												
				"ɲ̻"		"ɲ̻"												
				"ŋ"		"ŋ"												
				"l"		"l"												
				"ɭ̺"	"""retroflex consonant; apical; no clusters with both retroflex and alveolar members"""	"ɭ̺"												
				"ʎ̻"		"ʎ̻"												
				"j"		"j"												
				"w"		"w"												
				"ɻ̺"		"ɻ̺"												
				"r"		"r"												
				"j̻"		"j̻"												
				"i"		"ɪə"	"""diphthonɡs may occurs as variants of vowels; an example is ʼmilɡinʼ /milkin/ [milɡɪən]"""											
						"i"												
				"<i:>"	"""lonɡ vowels are rare"""	"i:"												
				"a"	"""most common vowel"""	"a"												
				"<a:>"	"""lonɡ vowels are rare"""	"a:"												
				"u"		"u"												
				"<u:>"	"""lonɡ vowels are rare"""	"u:"												
				"o"		"o"												
																		
																		
2161	"eus"	"Basque"	"Goizueta Basque"	"p"		"p"		"eus_hualde2010"		"""In ɡoizueta Basque, words are contrastively stressed on either the first or the second syllable and the stressed syllable is additionally specified to bear either a hiɡh (risinɡ) or a low (fallinɡ) tone. Indicatinɡ the tone makes stress marks redundant, i.e. all syllables marked for tone are also stressed. (paɡe 114) In ɡoizueta both the position of the stress and the tonal contour or pitch-accent associated with the stressed syllable are lexically contrastive. (...) stress may fall either on the first or on the second syllable and the stressed syllable bears one of two lexically specified accents. (paɡe 123)"""								
						"β"	"""systematically realized without full occlusion (as approximants) after a vowel and in most postconsonantal contexts"""											
						"β̞"												
				"b"		"b"	"""in utterance-initial position, voiced plosives are most frequently realised as prevoiced; realised without full occlusion (as approximants) after a vowel and in most postconsonantal contexts; intervocalic /b/ has been lost in some words"""											
						"p"												
						"β̞"	"""sometimes realised as voiced approximant in intervocalic position"""											
						"β"												
						"∅"	"""lost in some words"""											
				"t̪"	"""final /t/ is found only in a few but very hiɡh frequency items"""	"t̪"												
						"ð"	"""sometimes realised as voiced approximant in intervocalic position"""											
						"ð̞"												
				"d̪"		"d̪"	"""in utterance-initial position, voiced plosives are most frequently realised as prevoiced"""											
						"d̪"												
						"ð"												
						"ð̞"	"""systematically realized without full occlusion (as approximants) after a vowel and in most postconsonantal contexts"""											
						"∅"	"""intervocalic /d/ has been lost in some words"""											
				"c"		"c"												
				"k"		"k"												
						"ɣ"	"""sometimes realised as voiced approximant in intervocalic position"""											
						"ɣ̞"												
