"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Notes"	"Allophones"	"AllophoneNotes"	"FileNames"
			"d̪"				
			"t̪ʼ"				
			"t̪ʰ"				
			"l"				
			"c"				
			"ʒ"				
			"c"				
			"sː"				
			"sː"				
			"z"				
			"n"				
			"r"				
			"rʰ"				
			"ç"				
			"ɟ"				
			"j"				
			"k"				
			"ɡ"				
			"k̰"				
			"x"				
			"q"				
			"q̰"				
			"qː"				
			"ʔ"				
			"ʕ"				
			"h"				
			"ħ"				
			"i"				
			"iː"				
			"e"				
			"eː"				
			"u"				
			"uː"				
			"ʊ"				
			"ʊː"				
			"o"				
			"oː"				
			"a"				
			"aː"				
							
							
"cdm"	"Chepang"		"p"				"cdm_caughley1982.pdf"
			"t̪"				
			"ts"		"[t̠ʃ]"	"before front vowels or [j]; [ts] elsewhere"	
			"k"				
			"ʔ"				
			"b"				
			"d̪"				
			"dz"		"[d̠ʒ]"	"before front vowels or [j]; [dz] elsewhere"	
			"ɡ"				
			"s"		"[s]"	"""Before other vowels or when syllable final"""	
					"[ʃ]"	"""Before front vowels e, i, and y"""	
			"h"				
			"m"				
			"n̪"				
			"ŋ"				
			"l̪"				
			"r"				
			"w"				
			"j"				
			"i"				
			"e"				
			"ə"				
			"a"				
			"u"				
			"o"				
							
							
"mhr"	"Cheremis"		"p"				"mhr_sebeok1961.pdf"
			"t̪"				
			"k"				
			"b"		"[b]"	"""After /m/"""	
					"[β]"	"""Elsewhere"""	
					"[v]"	"""Elsewhere"""	
			"d̪"		"[d̪]"	"""After nasals"""	
					"[θ]"	"""Before /l/ and nasals"""	
					"[ð]"	"""Elsewhere"""	
			"ɡ"		"[ɡ]"	"""After /ŋ/"""	
					"[ɣ]"	"""Elsewhere"""	
			"m"				
			"n"				
			"ŋ"				
			"s"				
			"ʃ"				
			"t̠ʃ"		"[d̠ʒ]"	"""After /ɲ/"""	
					"[t̠ʃ]"	"""Elsewhere"""	
			"z"				
			"ʒ"				
			"ɾ"		"[ɾ]"	"""Elsewhere"""	
					"[ɾʲ]"	"""Before /j/"""	
			"l"		"[l̟]"	"fronted; ""Between front vowels"""	
					"[l]"	"""Elsewhere"""	
			"ɲ"				
			"ʎ"				
			"j"				
			"i"		"[iʲ]"	"""Finally, or before a vowel"""	
					"[ɨʲ]"	"""Finally, or before a vowel"""	
					"[iː]"	"""Finally"""	
					"[ɨː]"	"""Finally"""	
					"[i]"	"""Elsewhere"""	
					"[ɨ]"	"""Elsewhere"""	
			"ü"		"[üʲ]"	"""Finally or before a vowel"""	
					"[ʉ̈ʲ]"	"""Finally or before a vowel"""	
					"[üː]"	"""Finally"""	
					"[ʉ̈ː]"	"""Finally"""	
					"[ü]"	"""Elsewhere"""	
					"[ʉ̈]"	"""Elsewhere"""	
			"u"		"[uː]"	"""Finally"""	
					"[u]"	"""Elsewhere"""	
					"[ʊ]"	"""Elsewhere"""	
			"e"		"[ɛ]"	"""Finally in polysyllabic words, except when preecding vowel is a back vowel, and elsewhere"""	
					"[i]"	"""Finally in polysyllabic words, except when preecding vowel is a back vowel"""	
					"[ə]"	"""Finally in polysyllabic words, except when preecding vowel is a back vowel"""	
					"[e]"	"""Elsewhere"""	
			"ö"		"[ö]"	"""Finally in polysyllabic words, except when preceding vowel is a back or unrounded vowel, and elsewhere"""	
					"[ü]"	"""Finally in polysyllabic words, except when preceding vowel is a back or unrounded vowel"""	
					"[ə̈]"	"""Finally in polysyllabic words, except when preceding vowel is a back or unrounded vowel"""	
			"o"		"[oː]"	"""Finally in monosyllabic words"""	
					"[ɔː]"	"""Finally in monosyllabic words"""	
					"[o]"	"""Finally in polysyllabic words, and elsewhere"""	
					"[ʊ]"	"""Finally in polysyllabic words"""	
					"[ə]"	"""Finally in polysyllabic words"""	
					"[ɔ]"	"""Finally in polysyllabic words, and elsewhere"""	
			"a"		"[æ]"	"""After o, u, æ, in preceding syllable, preceding or following l, n, j"""	
					"[a]"	"Possible anywhere"	
					"[ʌ]"	"""Elsewhere"""	
			"ə"		"[ə]"	"""In monosyllabic words, and elsewhere"""	
					"[ʌ]"	"""Elsewhere"""	
							
							
"cle"	"Chinanteco"		"p"				"cle_archivo1980.pdf"
			"t"				
			"tʲ"				
			"k"				
			"kʲ"				
			"kʷ"				
			"ʔ"				
			"b"				
			"d"				
			"dʲ"				
			"ɡ"				
			"ɡʲ"				
			"ɡʷ"				
			"f"				
			"v"				
			"s"				
			"ʃ"				
			"h"				
			"hʲ"				
			"m"				
			"n"				
			"nʲ"				
			"ɲ"				
			"ŋ"				
			"l"				
			"j"				
			"r"				
			"lʲ"				
			"a"				
			"e"				
			"i"				
			"ɨ"				
			"o"				
			"u"				
			"<ɵ>"	"text is not clear on this phoneme, hard to read and distinguish from /e/ in the text"			
							
							
"ctu"	"Tila, Chiapas"		"b"				"ctu_alvarez2002.pdf"
			"p"				
			"pʼ"				
			"tʲ"				
			"tʲʼ"				
			"k"				
			"kʼ"				
			"ʔ"				
			"s"				
			"ʃ"				
			"h"				
			"ts"				
			"tsʼ"				
			"c"				
			"cʼ"				
			"m"				
			"ɲ"				
			"l"				
			"w"				
			"j"				
			"i"				
			"e"				
			"ɨ"				
			"a"				
			"u"				
			"o"				
							
							
"crw"	"Chrau"		"p"		"[p̚]"	"in final position"	"crw_tomas1971.pdf"
			"t̪"		"[t̪̚]"	"in final position"	
			"c"		"[c̚]"	"in final position"	
			"k"		"[k̚]"	"in final position"	
			"ɓ"				
			"ɗ"				
			"b"			"can vary to a fricative or affricate but does not give data"	
			"d"			"can vary to a fricative or affricate but does not give data"	
			"ɟ"			"can vary to a fricative or affricate but does not give data"	
			"ɡ"			"can vary to a fricative or affricate but does not give data"	
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"w"				
			"j"				
			"l"				
			"ɽ"		"[r]"	"""Seldom used except for emphasis"""	
					"[ɾ]"		
					"[ɽ]"		
			"s"				
			"h"				
			"iaː"				
			"iː"				
			"eː"				
			"ɛː"				
			"<uaː>"	"Loan"			
			"əː"				
			"aː"				
			"uː"				
			"oː"				
			"ɔː"				
			"i"				
			"ɛ"				
			"ɐ"				
			"aː"				
			"uː"				
			"oː"				
							
							
"boi"	"Barbareño"		"i"				"boi_wash2001.pdf"
			"e"				
			"ɨ"				
			"a"				
			"u"				
			"o"				
			"p"				
			"t"				
			"k"				
			"q"				
			"ʔ"				
			"p̰"				
			"t̰"				
			"k̰"				
			"q̰"				
			"<pʰ>"	"Loan"			
			"<tʰ>"	"Loan"			
			"<kʰ>"	"Loan"			
			"<qʰ>"	"Loan"			
			"s"				
			"ʃ"				
			"x"				
			"h"				
			"<sʰ>"	"Loan"			
			"ts"				
			"t̠ʃ"				
			"ts̰"				
			"t̠ʃ̰"				
			"<tsʰ>"	"Loan"			
			"<t̠ʃʰ>"	"Loan"			
			"m"		"[m̥]"	"""Syllable-finally and word-finally"""	
			"n"		"[n̥]"	"""Syllable-finally and word-finally"""	
			"m̰"				
			"n̰"				
			"l"		"[l̥]"	"""Syllable-finally and word-finally"""	
			"l̰"				
			"w"		"[w̥]"	"""Syllable-finally and word-finally"""	
			"j"		"[j̥]"	"""Syllable-finally and word-finally"""	
			"w̰"				
			"j̰"				
							
							
"crd"	'"Coeur d''Alene"'		"p"				"crd_doak1997.pdf"
			"pʼ"				
			"b"				
			"m"				
			"mʼ"				
			"t"				
			"tʼ"				
			"d"				
			"s"				
			"n"				
			"nʼ"				
			"ts"				
			"tsʼ"				
			"ɬ"				
			"l"				
			"lʼ"				
			"ɹˤ"	"coronal pharyngeal"		"description is similar to an English /r/ production with simultaneous weak pharyngeal constriction"	
			"ɹ̰ˤ"	"coronal pharyngeal"		"description is similar to an English /r/ production with simultaneous weak pharyngeal constriction"	
			"t̠ʃ"				
			"t̠ʃʼ"				
			"ʃ"				
			"d̠ʒ"				
			"y"				
			"w"				
			"wʼ"				
			"yʼ"				
			"kʷ"				
			"kʷʼ"				
			"ɡʷ"				
			"xʷ"				
			"q"				
			"qʼ"				
			"qʷ"				
			"qʷʼ"				
			"χ"				
			"χʷ"				
			"ʕ"				
			"ʕʼ"				
			"ʕʷ"				
			"ʕʷʼ"				
			"ʔ"				
			"h"				
			"i"				
			"e"	"/e/ ranges fairly freely among and [e], [ɛ], and [æ] with [ɛ] the most common variant (see discussion of vowel length, §2.3.3)"			
			"u"				
			"o"				
			"a"				
			"ə"				
							
							
"com"	"Comanche"		"p"				"com_charney1993.pdf"
			"t̪"				
			"t̪s̪"				
			"k"				
			"kʷ"				
			"ʔ"				
			"m"				
			"n"				
			"s"				
			"h"				
			"w"				
			"j"				
			"i"				
			"ɨ"				
			"u"				
			"o"				
			"e"				
			"ɑ"				
							
							
"cup"	"Cupeno"		"p"				"cup_hill2005.pdf"
			"t"				
			"k"				
			"q"				
			"kʷ"		"[qʷ]"	"""Before unstressed non-high vowels /a/ and /e/"""	
					"[kʷ]"		
					"[k]"	"""In preconsonantal or word-final position"""	
			"qʷ"				
			"ʔ"				
			"t̠ʃ"		"[t̠ʃ]"	"""only as syllable onset"""	
			"<f>"	"Loan"			
			"s"				
			"ʂ"				
			"ʃ"			"""only as coda"""	
			"x"				
			"xʷ"		"[xʷ]"		
					"[x]"	"""In coda position""; usually"	
			"h"				
			"β"				
			"<ð>"	"Loan"			
			"f"				
			"ɣ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"l"				
			"<ɾ>"	"Loan"			
			"ʎ"		"[ʎ̥]"	"""often exhibits devoiced release in word-final position"""	
			"j"		"[j̥]"		
			"w"		"[w̥]"		
			"i"		"[i]"		
					"[e]"	"""Often in open syllables"""	
					"[ɪ]"	"""Often in closed syllables"""	
			"iː"				
			"u"				
			"uː"				
			"a"				
			"aː"				
			"ə"		"[ə]"		
					"[ɨ]"	"""Can appear in a stressed long syllable"""	
					"[o]"	"""Sometimes, following labialized consonants"""	
					"[ɛ]"	"""Often, before w"""	
			"<ɛ>"	"Loan"			
			"<ɛː>"	"Loan"			
			"<o>"	"Loan"			
			"<oː>"	"Loan"			
							
							
"cuv"	"Cuvok"		"a"		"[ɛ]"	"adjacent to a palatal according to examples given"	"cuv_ndokobai2003.pdf"
					"[ɔ]"	"adjacent to a labial segment according to the examples given"	
					"[œ]"	"adjacent to a labial(ized) palatal (example shows labialized k) segment according the examples given"	
			"ə"		"[i]"	"adjacent to a palatal segment according to the examples given"	
					"[u]"	"adjacent to a labial segment according to the examples given"	
					"[ʉ]"	"adjacent to a labial(ized) palatal (example shows labialized k) segment according the examples given"	
			"p"				
			"t"				
			"ts"		"[t̠ʃ]"	"before /i/ and /ɛ/"	
			"k"		"[kʷ]"		
			"b"				
			"d"				
			"dz"		"[d̠ʒ]"	"before /ɛ/"	
			"ɡ"		"[ɡʷ]"	"before /ɔ/ or /œ/"	
			"m"				
			"n"				
			"mb"				
			"nd"				
			"ndz"		"[n̠d̠ʒ]"	"before /ɛ/"	
			"ŋɡ"		"[ŋɡʷ]"	"before /ɔ/ or /œ/"	
					"[ŋ]"		
			"ɓ"				
			"ɗ"				
			"f"				
			"ɬ"				
			"s"		"[ʃ]"	"after /ɛ/"	
			"h"		"[hʷ]"	"before /ɔ/ or /œ/"	
			"v"				
			"ɮ"				
			"z"		"[ʒ]"	"after /ɛ/"	
			"l"				
			"ɾ"				
			"w"				
			"j"				
							
							
"anv"	"Denya"		"i"		"[i]"		"anv_mbuagbaw1996.pdf"
					"[ĩ]"	"following a nasal; illustrated by example"	
			"e"		"[ẽ]"	"following a nasal; illustrated by example; shows this as phonemic in the example but goes on to state that all vowels are phonetically nasalized and will assume there is an error in the example."	
			"ɛ"		"[ɛ]"		
					"[ə]"	"""Occurs between consonants"""	
					"[ɛ̃]"	"following a nasal; illustrated by example"	
			"a"		"[a]"		
					"[ã]"	"following a nasal; illustrated by example"	
			"u"		"[u]"		
					"[ũ]"	"following a nasal; illustrated by example"	
					"[ɯ]"		
			"o"		"[o]"		
					"[õ]"	"following a nasal; illustrated by example"	
			"ɔ"		"[ɔ]"		
					"[ɔ̃]"	"following a nasal; illustrated by example"	
			"p"				
			"b"		"[β]"	"""Occurs intervocalically"""	
					"[b]"	"""Occurs syllable initially"""	
			"t̪"		"[θ]"	"free variation"	
			"d̪"		"[t̪̚]"	"""Occurs syllable finally"""	
					"[d]"	"""Occurs word initially"""	
			"k"			"has two allophones, but it is unclear precisely what these are"	
			"ɡ"			"has two allophones, but it is unclear precisely what these are"	
			"kp"				
			"ɡb"				
			"f"				
			"v"				
			"s"				
			"ʃ"				
			"h"				
			"m"		"[m]"	"""Occurs syllable initially"""	
					"[ɱ]"	"""Occurs before voiceless labiodental fricative"""	
			"n̪"				
			"ŋ"				
			"ŋm"	"""Voiced labio-velar nasal"""			
			"t̠ʃ"				
			"d̠ʒ"				
			"l"		"[l̪]"	"""Before front vowels"""	
					"[ɭ]"	"""Before back vowels"""	
			"ɾ"				
			"y"				
			"w"		"[w]"	"""Morpheme initially and medially"""	
					"[ʔ]"	"""At the end of words"""	
							
							
"kxl"	"Dhangar"		"p"				"kxl_yadava2000.pdf"
			"pʰ"				
			"b"				
			"bʰ"				
			"m"				
			"mʰ"				
			"w"				
			"wʰ"				
			"t̪"				
			"t̪ʰ"				
			"d̪"				
			"d̪ʰ"				
			"s"				
			"n"				
			"nʰ"				
			"ɾ"				
			"ɾʰ"				
			"l"				
			"ʈ"				
			"ʈʰ"				
			"ɗ"				
			"ɗʰ"				
			"t̠ʃ"				
			"t̠ʃʰ"				
			"d̠ʒ"				
			"d̠ʒʰ"				
			"j"				
			"jʰ"				
			"k"				
			"kʰ"				
			"ɡ"				
			"ɡʰ"				
			"h"				
			"<x>"	"glottal tap? Possibly meant a glottal stop"			
			"i"				
			"e"				
			"a"				
			"o"				
			"u"				
							
							
"aoj"	"Muhiang"		"p"				"aoj_conrad1978.pdf"
			"t"				
			"k"				
			"b"				
			"d"				
			"ɡ"				
			"ʔ"				
			"kʷ"				
			"ɡʷ"				
			"ʔʷ"				
			"f"				
			"s"				
			"h"				
			"m"				
			"n"				
			"l"				
			"w"				
			"i"				
			"e"				
			"a"				
			"ə"				
			"u"				
							
							
"usa"	"Usarufa"		"i"				"usa_bee1965.pdf"
			"e"				
			"o"				
			"u"				
			"ɑ"				
			"p"				
			"t"				
			"k"				
			"m"				
			"n"				
			"w"				
			"j"				
			"r"				
			"ʔ"				
			"ˀp"	"preglottalized"			
			"ˀt"	"preglottalized"			
			"ˀm"	"preglottalized"			
			"ˀn"	"preglottalized"			
			"ˀw"	"preglottalized"			
			"ˀj"	"preglottalized"			
			"mː"				
			"nː"				
							
							
"kpr"	"Korafe"		"b"		"[mb]"	"""Occurs immediately following a syllable with a nasal onset"""	"kpr_farr1974.pdf"
					"[b]"	"""Occurs elsewhere"""	
			"f"		"[f]"	"""Occurs before front vowels and tends to fluctuate freely with [p] before central vowels"""	
					"[p]"	"""Occurs before back vowels and in free fluctuation with [f] before central vowels"""	
			"v"		"[β]"	"""Occurs word initially before central vowels, intervocalically following back vowels before /a/, fluctuates freely with [v] intervocalically following high front vowels before [a], fluctuates freely with [w] between any combination of back vowels"""	
					"[v]"	"""Occurs before all front vowels, before central vowels when following low front central vowels"""	
					"[w]"	"""Occurs word initially before back vowels; fluctuates freely with [w] between any combination of back vowels"""	
			"mb"			"""occurs in word medial position only"""	
			"m"				
			"tʰ"			"""Occurs in all environments"""	
			"d"		"[nd]"	"""Occurs immediately following a syllable with a nasal onset"""	
					"[d]"	"""Occurs elsewhere"""	
			"s"				
			"d̠ʒ"		"[n̠d̠ʒ]"	"""Occurs immediately following a syllable with nasal onset"""	
					"[d̠ʒ]"	"""Occurs elsewhere"""	
			"nd"			"""occurs in word medial position only"""	
			"n̠d̠ʒ"			"""occurs in word medial position only"""	
			"n"				
			"ɾ"		"[ɾ]"	"""Occurs in all environments but fluctuates with [l] according to speakers idiolect"""	
					"[l]"	"""Occurs in free fluctuation with [ɾ]"""	
			"j"				
			"kʰ"			"""Occurs in all environments"""	
			"ɡ"		"[ŋɡ]"	"""Occurs immediately following a syllable with a nasal onset"""	
					"[ɡ]"	"""Occurs elsewhere"""	
			"ɣ"		"[ŋɡ]"	"""Occurs immediately following a syllable with a nasal onset"""	
					"[ɡ]"	"""Occurs before front vowels except following a syllable with a nasal onset"""	
					"[ɣ]"	"""Occurs elsewhere"""	
			"ŋɡ"			"""occurs in word medial position only"""	
			"ŋɣ"			"""occurs in word medial position only"""	
			"i"		"[iː]"	"""Occurs before /k/ followed by central or back vowel"""	
					"[i]"	"""Occurs elsewhere"""	
			"e"		"[e]"	"""Occurs before syllables with high vowel nucleus except when those sylables have prenasalized obstruent onset and in the complex syllable nucleus /ei/"""	
					"[e̞]"	"""Occurs immediately before prenasalized obstruents"""	
					"[ɛː]"	"""Occurs before a syllable with /k/ onset and low central or low back vowel nucleus"""	
					"[ɛ]"	"""Occurs elsewhere"""	
			"ɐ"		"[ɐi]"	"""Occurs before /y/"""	
			"u"		"[ɐ]"	"""Occurs elsewhere"""	
			"o"		"[o]"	"""Occurs before syllables with high vowel nucleus except when the high vowel follows a prenasalized obstruent"""	
					"[o̞]"	"""Occurs before prenasalized obstruents"""	
					"[ɔ]"	"""Occurs elsewhere"""	
							
							
"bjr"	"Binumarien"		"p"				"bjr_oatridge1973.pdf"
			"t"				
			"k"				
			"ʔ"				
			"ɸ"				
			"s"				
			"m"				
			"n"				
			"r"				
			"w"				
							
			"j"				
			"i"				
			"eː"	"never occurs singly, only in geminate structures"			
			"ɑ"				
			"u"				
			"oː"	"never occurs singly, only in geminate structures"			
							
							
"ego"	"Eggon"		"p"				"ego_blench2006.pdf"
			"b"				
			"ɓ"				
			"β"				
			"m"				
			"w"				
			"f"				
			"v"				
			"t"				
			"d"				
			"s"				
			"z"				
			"ts"				
			"dz"				
			"n"				
			"ɾ"				
			"l"				
			"ʂ"				
			"ɽ"				
			"<ʃ>"				
			"<ʒ>"				
			"ɲ"				
			"j"				
			"k"				
			"ɡ"				
			"x"				
			"ŋ"				
			"kp"				
			"ɡb"				
			"h"				
			"i"				
			"e"				
			"ɛ"				
			"a"				
			"ɔ"				
			"o"				
			"u"				
			"˥˩"				
			"˩˥"				
			"˨"				
			"˧"				
			"˦"				
							
							
							
"ekp"	"Ekpeye"		"i"				"ekp_blench2006.pdf"
			"ɪ"				
			"e"				
			"ɛ"				
			"a"				
			"ɔ"				
			"o"				
			"ʊ"				
			"u"				
			"p"				
			"b"				
			"t"				
			"d"				
			"k"				
			"ɡ"				
			"kp"				
			"ɡb"				
			"ɓ"				
			"ɗ"				
			"s"				
			"z"				
			"ʃ"				
			"ʒ"				
			"h"				
			"t̠ʃ"				
			"d̠ʒ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"j"				
			"w"				
			"ɥ"				
			"˥˩"				
			"˩˥"				
			"˨"				
			"↓"				
							
							
"enb"	"Endo"		"p"		"[b]"	"""after nasals""; ""often between vowels"""	"enb_zwarts2003.pdf"
					"[pʰ]"	"""At the beginning of words"""	
					"[p̚]"	"""At the end of words"""	
			"m"				
			"t"		"[d]"	"""after nasals""; ""often between vowels"""	
					"[t̪]"	"""Often"""	
					"[tʰ]"	"""At the beginning of words"""	
					"[t̚]"	"""At the end of words"""	
			"n"				
			"r"		"[ɾ]"		
					"[r̥]"	"""At the end of words"""	
			"s"				
			"l"				
			"c"		"[ɟ]"	"""after nasals"""	
					"[t̠ʃ]"		
					"[cʰ]"	"""At the beginning of words"""	
					"[c̚]"	"""At the end of words"""	
			"ɲ"				
			"j"				
			"k"		"[ɡ]"	"""after nasals""; ""often between vowels"""	
					"[kʰ]"	"""At the beginning of words"""	
					"[k̚]"	"""At the end of words"""	
			"ŋ"				
			"w"				
			"i"				
			"e"				
			"ɑ"				
			"o"				
			"u"				
			"iː"				
			"eː"				
			"ɑː"				
			"oː"				
			"uː"				
			"ɪ"				
			"ɛ"				
			"a"				
			"ɔ"				
			"ʊ"				
			"ɪː"				
			"ɛː"				
			"aː"				
			"ɔː"				
			"ʊː"				
			"˦"				
			"˨"				
			"˥˩"				
							
							
"ags"	"Esimbi"		"p"				"ags_fointein1986.pdf"
			"b"				
			"t"				
			"d"				
			"k"				
			"ɡ"				
			"kp"				
			"ɡb"				
			"ts"		"[t̠ʃ]"	"""followed by the front vowel /i/"""	
			"dz"		"[d̠ʒ]"	"""when it precedes the front vowel /i/"""	
			"β"				
			"f"				
			"v"				
			"s"		"[ʃ]"	"""when it is followed by front vowels"""	
			"z"		"[ʒ]"	"""when it is followed by front vowels"""	
			"h"				
			"b̃"				
			"d̃"				
			"ndz"				
			"ŋmɡb"	"updated from ŋɡb"			
			"ŋɡ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"l"				
			"r"				
			"j"				
			"w"		"[ɣ]"	"after a -back vowel"	
			"i"				
			"e"				
			"ə"				
			"ɛ"				
			"a"				
			"ɔ"				
			"o"				
			"u"		"[u]"	"when the vowel in a preceding syllable is +back"	
					"[ɨ]"	"when the vowel in a preceding syllable is -back (only in disyllabic roots)"	
							
							
"fan"	"Fan"		"ɪ"				"fan_eko1974.pdf"
			"u"				
			"ə"				
			"e"				
			"o"				
			"ɛ"				
			"ɔ"				
			"a"				
			"ɪː"				
			"uː"				
			"əː"				
			"eː"				
			"oː"				
			"ɛː"				
			"ɔː"				
			"aː"				
			"b"				
			"mb"				
			"n"	"not clear if this is dental or alveolar"			
			"m"				
			"f"				
			"v"				
			"ɱv"	"updated from mv"			
			"t"	"not clear if this is dental or alveolar"			
			"d"	"not clear if this is dental or alveolar"			
			"nd"	"not clear if this is dental or alveolar"			
			"l"	"not clear if this is dental or alveolar"			
			"c"				
			"ɟ"				
			"ɲɟ"				
			"ɲ"				
			"j"				
			"s"				
			"z"				
			"k"				
			"ʔ"				
			"ŋ"				
		"harhar"	"ŋɡ"				
		"ŋɡb"	"kp"				
		"nym"	"ŋmɡb"	"updated from ŋɡb"			
			"w"				
							
							
							
"fuu"	"Furu"		"i"				"fuu_boyeldieu2000.pdf"
			"e"				
			"ɛ"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"ui"				
			"ue"				
			"ua"				
			"ɓ"				
			"ɗ"				
			"p"				
			"f"				
			"t"				
			"s"				
			"kʲ"				
			"k"				
			"kp"				
			"<h>"	"cannot intrepret why this is in brackets in the text"			
			"b"				
